순번,근거,구분,구분2,구분3,구분기호,CAS,기준,기준농도,물질,
특수1,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','8006-61-9,용량비,'1%,1) 가솔린(Gasoline; 8006-61-9),
특수2,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','111-30-8,용량비,'1%,2) 글루타르알데히드(Glutaraldehyde; 111-30-8),
특수3,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','91-59-8,용량비,'1%,3) β-나프틸아민(β-Naphthylamine; 91-59-8),
특수4,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','55-63-0,용량비,'1%,4) 니트로글리세린(Nitroglycerin; 55-63-0),
특수5,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','75-52-5,용량비,'1%,5) 니트로메탄(Nitromethane; 75-52-5),
특수6,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','98-95-3,용량비,'1%,6) 니트로벤젠(Nitrobenzene; 98-95-3),
특수7,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','100-01-6,용량비,'1%,7) p-니트로아닐린(p-Nitroaniline; 100-01-6),
특수8,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','100-00-5,용량비,'1%,8) p-니트로클로로벤젠(p-Nitrochlorobenzene; 100-00-5),
특수9,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','25321-14-6,용량비,'1%,9) 디니트로톨루엔(Dinitrotoluene; 25321-14-6 등),
특수10,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','121-69-7,용량비,'1%,"10) N,N-디메틸아닐린(N,N-Dimethylaniline; 121-69-7)",
특수11,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','60-11-7,용량비,'1%,11) p-디메틸아미노아조벤젠(p-Dimethylaminoazobenzene; 60-11-7),
특수12,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','127-19-5,용량비,'1%,"12) N,N-디메틸아세트아미드(N,N-Dimethylacetamide; 127-19-5)",
특수13,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','68-12-2,용량비,'1%,13) 디메틸포름아미드(Dimethylformamide; 68-12-2),
특수14,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','60-29-7,용량비,'1%,14) 디에틸 에테르(Diethyl ether; 60-29-7),
특수15,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','111-40-0,용량비,'1%,15) 디에틸렌트리아민(Diethylenetriamine; 111-40-0),
특수16,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','123-91-1,용량비,'1%,"16) 1,4-디옥산(1,4-Dioxane; 123-91-1)",
특수17,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','108-83-8,용량비,'1%,17) 디이소부틸케톤(Diisobutylketone; 108-83-8),
특수18,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','75-09-2,용량비,'1%,18) 디클로로메탄(Dichloromethane; 75-09-2),
특수19,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','95-50-1,용량비,'1%,19) o-디클로로벤젠(o-Dichlorobenzene; 95-50-1),
특수20,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','107-06-2,용량비,'1%,"20) 1,2-디클로로에탄(1,2-Dichloroethane; 107-06-2)",
특수21,산업안전보건법 시행규칙 [별표22],특수건강진단대상 유해인자,화학적 인자,유기화합물,','540-59-0,용량비,'1%,"21) 1,2-디클로로에틸렌(1,2-Dichloroethylene; 540-59-0 등)",
